year,learning_project,project,ratio
2011,3292,397797,0.008275578
2012,5186,895973,0.005788121
2013,17517,2109199,0.008305049
2014,40476,3628155,0.011156083
2015,120787,8115063,0.014884296
2016,209648,13219287,0.015859252
