[Multiple Choice] How do you benefit from hosting learning materials in GitHub?

Respondents,Response Date,Other (please specify),Categories

1,Jun 13 2017 11:37 AM,"Really just convenient since thsts where all my other projects are. Pinned repositories also means it is Somewhat a part of my ""portfolio""",
2,Jun 10 2017 01:46 AM,It also acts as a resume / reference for my coding ability,
3,Jun 09 2017 12:20 PM,Really like to interact with the friends with same interests,
4,Jun 07 2017 03:41 PM,Great Company or people contacted me first.,

