[Multiple Choice] What motivates you to host your learning materials in GitHub?

Respondents,Response Date,Other (please specify),Categories

1,Jun 13 2017 11:37 AM,"I can point users to one place which continues to develop, and users can easily see what is new when",
2,Jun 10 2017 01:46 AM,"great interface, very easy / convenient to use",

